po_id,po_date,supplier_id,supplier_name,supplier_gstin,item_id,item_name,category,hsn_code,qty,unit_cost,taxable_amount,igst_rate,igst_amount,total_amount,delivery_date,received_date,po_status,payment_status,payment_due_date,warehouse,raised_by
PO-2025-001,2025-01-03,SUP001,TechCore Software Pvt Ltd,27AABCT1234A1ZZ,PRD-A01,Enterprise Analytics Suite,Software,998314,30,18000,540000,18,97200,637200,2025-01-10,2025-01-09,Received,Paid,2025-02-02,Digital,EMP006
PO-2025-002,2025-01-05,SUP002,HardTech Components,29AABCH5678B1ZZ,PRD-C03,Industrial IoT Sensors,Hardware,848990,200,3500,700000,12,84000,784000,2025-01-20,2025-01-19,Received,Paid,2025-02-04,Warehouse-A,EMP011
PO-2025-003,2025-01-08,SUP001,TechCore Software Pvt Ltd,27AABCT1234A1ZZ,PRD-B02,Hospital Management Module,Software,998313,10,75000,750000,18,135000,885000,2025-01-15,2025-01-15,Received,Pending,2025-02-07,Digital,EMP006
PO-2025-004,2025-01-10,SUP003,CloudBase Solutions,19AABCC9012C1ZZ,PRD-S19,Cloud Backup Solution,Software,998314,25,11000,275000,18,49500,324500,2025-01-20,2025-01-21,Received,Paid,2025-02-09,Digital,EMP006
PO-2025-005,2025-01-15,SUP002,HardTech Components,29AABCH5678B1ZZ,PRD-M13,POS System,Hardware,847190,40,18000,720000,12,86400,806400,2025-02-05,2025-02-04,Received,Pending,2025-02-14,Warehouse-A,EMP011
PO-2025-006,2025-01-18,SUP001,TechCore Software Pvt Ltd,27AABCT1234A1ZZ,PRD-D04,ERP Integration Package,Software,998316,5,140000,700000,18,126000,826000,2025-01-28,2025-01-27,Received,Paid,2025-02-17,Digital,EMP006
PO-2025-007,2025-01-22,SUP004,SecureNet India,07AABCS3456D1ZZ,PRD-R18,Network Security Suite,Software,998316,10,85000,850000,18,153000,1003000,2025-02-05,2025-02-04,Received,Pending,2025-02-21,Digital,EMP006
PO-2025-008,2025-01-25,SUP002,HardTech Components,29AABCH5678B1ZZ,PRD-T20,Barcode Scanner,Hardware,847190,15,2200,33000,12,3960,36960,2025-02-10,,Pending,Not Due,2025-02-24,Warehouse-A,EMP011
PO-2025-009,2025-01-28,SUP001,TechCore Software Pvt Ltd,27AABCT1234A1ZZ,PRD-L12,Telemedicine Module,Software,998316,10,50000,500000,18,90000,590000,2025-02-08,2025-02-07,Received,Paid,2025-02-27,Digital,EMP006
PO-2025-010,2025-02-01,SUP003,CloudBase Solutions,19AABCC9012C1ZZ,PRD-I09,AI Reporting Module,Software,998314,30,9000,270000,18,48600,318600,2025-02-12,2025-02-11,Received,Pending,2025-03-03,Digital,EMP006
PO-2025-011,2025-02-05,SUP001,TechCore Software Pvt Ltd,27AABCT1234A1ZZ,PRD-N14,Supply Chain Module,Software,998316,5,115000,575000,18,103500,678500,2025-02-15,,Pending,Not Due,2025-03-07,Digital,EMP006
PO-2025-012,2025-02-08,SUP005,DataPrime Analytics,06AABCD7890E1ZZ,PRD-H08,Inventory Control Pro,Software,998316,40,12000,480000,18,86400,566400,2025-02-18,2025-02-17,Received,Pending,2025-03-10,Digital,EMP006
